gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
Nrg3,0.1853932584269663,103.36843623598463,0.00022839640645804784,0.27225659725659157,248.68739994538174,0.0006890398676835785,0.0022170780137921254,0.6085956110033576,77
Ntn1,0.06882022471910113,32.73637773167939,0.0006913826071840578,0.2120181332473778,184.48340529330656,3.912062692358512e-05,0.0011949996823793594,0.28347467343636074,26
Ntng1,0.1853932584269663,103.36843623598463,0.00022839640645804784,0.27225659725659157,248.68739994538174,0.0006890398676835855,0.0022170780137921254,0.6085956110033577,77
OGN,0.1095505617977528,49.240340726572185,0.00047409093064049683,0.27461028566254886,224.92186819328865,0.01704222552453841,0.0010618877028337312,0.33967869008786183,54
OMD,0.06179775280898876,29.45652606803487,0.0005658598289018252,0.2534345504585412,208.36486197171104,0.004659975108806165,0.000871011819809259,0.32266111282863696,34
Ogfod1,0.03932584269662921,19.333110943140777,7.52290122578844e-05,0.21636650126217274,171.62803331481936,2.751756749856966e-05,0.0010355023419237803,0.3918491650315323,22
Ogn,0.03230337078651685,13.582678391981595,0.0002093901610328861,0.21292713846312927,170.18665287532767,2.8815128328505446e-05,0.0006763021728483843,0.22214514714877967,22
P3H1,0.2191011235955056,111.67198620291208,0.0002488977385862608,0.285684261197455,261.78776313433184,0.06567460760179741,0.001803886829434045,0.5109520995437029,100
P3H3,0.10393258426966293,47.236448270073154,0.00018852169417522854,0.2538904559602368,218.99759496110516,0.01275391547243039,0.001052103388686531,0.32166203089768813,49
P3h1,0.046348314606741575,20.72375413657412,0.00037137122900172254,0.23949290445647517,189.90406514866737,6.948510463889494e-05,0.0008659911215506955,0.23778994574468368,25
P4HA1,0.2556179775280899,128.68462135242274,0.0016672197727524139,0.33175930379043533,286.54120284072155,0.07268143852443992,0.0020530265576355847,0.4699635939147473,100
P4HA2,0.2247191011235955,103.96657412266686,0.0008810189794402567,0.32118591575206284,267.2709406002941,0.053722768219958,0.0017630444330235973,0.4106301492223005,100
P4ha1,0.1502808988764045,71.73085868649805,0.0038322350226773494,0.26579529695087656,225.99558772334962,0.00042269662312210276,0.001690659421564578,0.5368615940967053,77
P4htm,0.1853932584269663,103.36843623598463,0.00022809250201532959,0.27225659725659157,248.68739994538174,0.0006890398676835785,0.0022170780137921254,0.6085956110033577,77
PAMR1,0.28230337078651685,153.7850680482871,5.9639678233524474e-05,0.30012891533733294,291.2627189142547,0.09482412192887332,0.002313217163986584,0.5437029983345534,100
PAPLN,0.10252808988764045,47.58743754148224,0.00048199244615117177,0.25034090735358255,216.17990912621713,0.011938158132650771,0.0010179448272632898,0.351095838030528,51
PCOLCE,0.24157303370786515,126.04330841608697,0.000608416694321971,0.3194796292025888,282.631479758308,0.07256484473187112,0.0020046895124200942,0.5064118002851401,100
PCOLCE2,0.2794943820224719,152.14215373121868,4.092778458960712e-05,0.2992285246555369,290.0096154110152,0.09425571319631469,0.0022877133030317,0.548815444924626,100
PDGFC,0.28230337078651685,153.7850680482871,5.9639678233524474e-05,0.30012891533733294,291.2627189142547,0.09482412192887331,0.002313217163986584,0.543702998334553,100
PDGFD,0.043539325842696625,22.661317095146313,0.00024165468270147535,0.2416070837074416,205.18016792139093,0.005268277363831741,0.0006591957430054783,0.4500681971905323,30
PF4,0.08707865168539325,41.4279526564491,0.0019186416065712516,0.22410034287723446,197.231239569166,0.003584290575489225,0.0011145451182748552,0.32362169825746323,46
PLG,0.19662921348314605,93.56425629687422,0.0006992841226947328,0.2761989557199808,245.6028342107796,0.05370851197247413,0.0015451661859811185,0.48087545553681915,100
PLOD1,0.23314606741573032,115.63716008221665,0.000525450781459884,0.2937649635469885,264.83493191543045,0.06312833010482369,0.0018883831180500194,0.4578205533964766,100
PLOD2,0.2794943820224719,152.14215373121868,4.092778458960712e-05,0.2992285246555369,290.0096154110152,0.09425571319631469,0.0022877133030317,0.5488154449246259,100
