protein_a,protein_b,spearman_rho,abs_rho,sign,p_value
SERPINB12,TINAG,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB12,TNC,-0.7703807606585226,0.7703807606585226,-1,0.0001835169212574464
SERPINB2,ADAMTSL4,-0.557837850877145,0.557837850877145,-1,0.016146491648214512
SERPINB2,AMBP,0.5207110281779651,0.5207110281779651,1,0.026718077338026253
SERPINB2,ANGPTL2,-0.5954876218154519,0.5954876218154519,-1,0.009121800652724407
SERPINB2,C1QA,0.6409264363314905,0.6409264363314905,1,0.004154934610887693
SERPINB2,CCN5,0.6459852824255893,0.6459852824255893,1,0.0037778383334969644
SERPINB2,CSTB,-0.5649557696474665,0.5649557696474665,-1,0.014566146695957289
SERPINB2,CTSG,0.6032197062371356,0.6032197062371356,1,0.00804387121271461
SERPINB2,DPT,0.5207110281779651,0.5207110281779651,1,0.026718077338026253
SERPINB2,F10,0.5794008529901898,0.5794008529901898,1,0.011736898155316125
SERPINB2,FBN2,0.5548318404063649,0.5548318404063649,1,0.016853349581233218
SERPINB2,HMCN1,0.6512432584658762,0.6512432584658762,1,0.0034160515583004183
SERPINB2,LAMA4,0.5995437734798085,0.5995437734798085,1,0.008542734658520275
SERPINB2,LPA,-0.6616216370868463,0.6616216370868463,-1,0.002785040827384841
SERPINB2,MFAP4,0.5394906114873802,0.5394906114873802,1,0.020850809449067018
SERPINB2,NID1,0.5248601200359568,0.5248601200359568,1,0.02532280509405924
SERPINB2,OMD,0.7446486660546076,0.7446486660546076,1,0.000392791254989319
SERPINB2,P4HA2,0.5548318404063649,0.5548318404063649,1,0.016853349581233218
SERPINB2,PF4,-0.5588235294117646,0.5588235294117646,-1,0.015919895037761412
SERPINB2,PLXDC2,-0.7446486660546076,0.7446486660546076,-1,0.000392791254989319
SERPINB2,PRELP,0.5995437734798085,0.5995437734798085,1,0.008542734658520275
SERPINB2,PRG2,0.7446486660546076,0.7446486660546076,1,0.000392791254989319
SERPINB2,PRG3,-0.7498378553650924,0.7498378553650924,-1,0.00033934345773628077
SERPINB2,S100A16,-0.6122229854347048,0.6122229854347048,-1,0.0069206799803793245
SERPINB2,S100A6,-0.6459852824255893,0.6459852824255893,-1,0.0037778383334969644
SERPINB2,S100A8,0.5394906114873802,0.5394906114873802,1,0.020850809449067018
SERPINB2,SBSPON,0.6564324477763612,0.6564324477763612,1,0.003087335826585643
SERPINB2,SDC1,0.7498378553650924,0.7498378553650924,1,0.00033934345773628077
SERPINB2,SERPINB6,0.5221901934590129,0.5221901934590129,1,0.026213961514252763
SERPINB2,SERPING1,0.5559783089708951,0.5559783089708951,1,0.016580929614267274
SERPINB2,SFRP1,-0.5588235294117646,0.5588235294117646,-1,0.015919895037761412
SERPINB2,SPARC,0.6098367211363062,0.6098367211363062,1,0.007205185247965627
SERPINB2,SPARCL1,-0.5588235294117646,0.5588235294117646,-1,0.015919895037761412
SERPINB2,SRPX,0.5141760589972778,0.5141760589972778,1,0.029036202618582602
SERPINB2,SRPX2,0.7498378553650925,0.7498378553650925,1,0.0003393434577362795
SERPINB2,TGFB1,0.6953513676049993,0.6953513676049993,1,0.0013562857469426517
SERPINB2,TGFBI,0.5953946816218167,0.5953946816218167,1,0.009135429516445777
SERPINB2,TGM2,0.5351918815153691,0.5351918815153691,1,0.02209475589545044
SERPINB2,TGM3,0.6098367211363062,0.6098367211363062,1,0.007205185247965627
SERPINB2,THBS2,0.7446486660546074,0.7446486660546074,1,0.0003927912549893205
SERPINB2,THBS3,0.5630270401876301,0.5630270401876301,1,0.014981676477292784
SERPINB2,THSD4,-0.6098367211363062,0.6098367211363062,-1,0.007205185247965627
SERPINB2,TNFSF13,0.9999999999999999,0.9999999999999999,1,1.1604339337002511e-126
SERPINB2,VIT,0.5630270401876301,0.5630270401876301,1,0.014981676477292784
SERPINB2,VWA1,0.5437893414593912,0.5437893414593912,1,0.01966254522614979
SERPINB2,VWA5A,-0.9999999999999999,0.9999999999999999,-1,1.1604339337002511e-126
SERPINE2,C17orf58,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
SERPINE2,C1QA,-0.6033057851239669,0.6033057851239669,-1,0.008032477400686053
SERPINE2,C1QB,-0.5630158403127581,0.5630158403127581,-1,0.014984116575016823
SERPINE2,C1QTNF7,0.6911482839544804,0.6911482839544804,1,0.0014910003524803703
SERPINE2,COL10A1,-0.5469411412761452,0.5469411412761452,-1,0.01882569397275339
SERPINE2,COL11A1,0.7871590223714215,0.7871590223714215,1,0.00010591464107155563
SERPINE2,COL21A1,-0.572046636285542,0.572046636285542,-1,0.013116513747106654
SERPINE2,COL28A1,-0.540495867768595,0.540495867768595,-1,0.020568010352327228
SERPINE2,COL4A1,-0.6818582340463217,0.6818582340463217,-1,0.0018284266866247666
SERPINE2,COL5A3,-0.6462809917355371,0.6462809917355371,-1,0.003756692838307032
SERPINE2,CPN2,0.5154788828193326,0.5154788828193326,1,0.028562045950741494
SERPINE2,EMILIN2,-0.6727272727272727,0.6727272727272727,-1,0.002219281906651466
SERPINE2,F13A1,-0.7412794309131037,0.7412794309131037,-1,0.0004311455950016637
SERPINE2,FBN3,-0.6504925025453933,0.6504925025453933,-1,0.003465898000043624
SERPINE2,FGA,-0.5204762457481221,0.5204762457481221,-1,0.026798782813043508
SERPINE2,FNDC1,0.7342669141488359,0.7342669141488359,1,0.0005211260878388347
SERPINE2,HCFC1,-0.8181916968606661,0.8181916968606661,-1,3.3343218847397285e-05
SERPINE2,HTRA1,-0.6595957025404796,0.6595957025404796,-1,0.002900024353219379
SERPINE2,MFAP4,-0.5392473615660454,0.5392473615660454,-1,0.02091969731691239
SERPINE2,NELL1,-0.514662647692635,0.514662647692635,-1,0.028858401894380038
SERPINE2,PAPLN,-0.5182491469796916,0.5182491469796916,-1,0.027573809256102588
SERPINE2,PLG,-0.8387840324039987,0.8387840324039987,-1,1.3654414183168663e-05
SERPINE2,PODN,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
SERPINE2,PRSS2,0.5834710743801653,0.5834710743801653,1,0.011024760750549483
SERPINE2,PXDN,-0.560044780469419,0.560044780469419,-1,0.015642645341227265
SERPINE2,SERPINB8,-0.8181916968606661,0.8181916968606661,-1,3.3343218847397285e-05
SERPINE2,SERPIND1,-0.5032704194423991,0.5032704194423991,-1,0.03324880035733277
SERPINE2,SFRP2,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
SERPINE2,SMOC2,0.5834710743801653,0.5834710743801653,1,0.011024760750549483
SERPINE2,SPARCL1,-0.6504925025453933,0.6504925025453933,-1,0.003465898000043624
SERPINE2,SRPX,0.5834710743801653,0.5834710743801653,1,0.011024760750549483
SERPINE2,THBS3,0.5343883937714466,0.5343883937714466,1,0.022333583277475463
SERPINE2,THBS4,1.0,1.0,1,0.0
SERPINE2,TSKU,0.686365250847529,0.686365250847529,1,0.001657609755111755
SERPINE2,VIT,0.5343883937714466,0.5343883937714466,1,0.022333583277475463
SERPINE2,VWF,-0.88389030339338,0.88389030339338,-1,1.146980086291678e-06
SERPING1,ANXA6,0.5024875621890547,0.5024875621890547,1,0.03356839885666491
SERPING1,COL4A1,-0.6249896212331296,0.6249896212331296,-1,0.0055487603330763744
SERPING1,COL4A5,-0.5911667779278714,0.5911667779278714,-1,0.00977294629008841
SERPING1,CSTA,-0.6399947123879907,0.6399947123879907,-1,0.004227627983344159
SERPING1,ELN,0.5663584492300503,0.5663584492300503,1,0.01426974131633001
SERPING1,F12,-0.5204590756670314,0.5204590756670314,-1,0.02680469239233914
SERPING1,FGF2,0.5353634242591638,0.5353634242591638,1,0.022044027118841958
SERPING1,FRAS1,-0.5911667779278714,0.5911667779278714,-1,0.00977294629008841
SERPING1,FREM2,-0.5946544875321657,0.5946544875321657,-1,0.009244557893621927
SERPING1,LAMC1,-0.5472636815920398,0.5472636815920398,-1,0.018741663605696197
SERPING1,LAMC3,-0.5946544875321657,0.5946544875321657,-1,0.009244557893621927
SERPING1,LGALS3,0.5970149253731342,0.5970149253731342,1,0.008900166813123146
SERPING1,MFAP5,0.5911667779278714,0.5911667779278714,1,0.00977294629008841
SERPING1,PRELP,0.5820895522388059,0.5820895522388059,1,0.011262487615207775
SERPING1,PRG2,0.6735631394202644,0.6735631394202644,1,0.0021808600841937823
SERPING1,PRG3,-0.6673408471392457,0.6673408471392457,-1,0.0024804964816367123
SERPING1,S100A11,0.5012803353807987,0.5012803353807987,1,0.03406588084053711
SERPING1,S100A16,-0.6369474780887414,0.6369474780887414,-1,0.004472661751357719
SERPING1,SDC1,0.6673408471392457,0.6673408471392457,1,0.0024804964816367123
SERPING1,SDC2,0.7441519877225217,0.7441519877225217,1,0.0003982581525656869
SERPING1,SERPINB1,0.5696517412935322,0.5696517412935322,1,0.013592644717275486
SERPING1,SPARC,0.5319467966186042,0.5319467966186042,1,0.023071750808109463
SERPING1,SPARCL1,-0.5290092118939487,0.5290092118939487,-1,0.023985025658975836
SERPING1,SRPX,0.84738694555686,0.84738694555686,1,9.060653217975837e-06
SERPING1,SRPX2,0.7902311196893632,0.7902311196893632,1,9.527581454133809e-05
SERPING1,TGFB1,0.7995645581108911,0.7995645581108911,1,6.832924177953135e-05
SERPING1,TGFBI,0.9825870646766167,0.9825870646766167,1,4.0244137916348763e-13
SERPING1,TGM2,0.6894215409478852,0.6894215409478852,1,0.0015494681267474626
SERPING1,THBS2,0.7902311196893632,0.7902311196893632,1,9.527581454133809e-05
SERPING1,THBS3,0.7777865351273261,0.7777865351273261,1,0.00014480645957541576
SERPING1,TNC,0.9007582376122837,0.9007582376122837,1,3.451465604318487e-07
SERPING1,TNFSF13,0.555978308970895,0.555978308970895,1,0.0165809296142673
SERPING1,TSKU,0.5248601200359568,0.5248601200359568,1,0.02532280509405924
SERPING1,VIT,0.7777865351273261,0.7777865351273261,1,0.00014480645957541576
SERPING1,VWA1,0.5244758264781108,0.5244758264781108,1,0.025449596077368446
SERPING1,VWA5A,-0.555978308970895,0.555978308970895,-1,0.0165809296142673
SMOC2,ADAM15,0.8181916968606661,0.8181916968606661,1,3.3343218847397285e-05
SMOC2,ADAMTSL5,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
SMOC2,ANGPTL6,-0.6911482839544804,0.6911482839544804,-1,0.0014910003524803703
SMOC2,ANXA4,0.6437846676058039,0.6437846676058039,1,0.003938277554876748
SMOC2,C1QB,-0.6194659773362008,0.6194659773362008,-1,0.006112294327261636
SMOC2,C1QTNF5,-0.6429752066115703,0.6429752066115703,-1,0.003998675604266049
