canonical_gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number,rank_degree_centrality,percentile_degree_centrality,rank_strength,percentile_strength,rank_betweenness_centrality,percentile_betweenness_centrality,rank_closeness_centrality,percentile_closeness_centrality,rank_harmonic_centrality,percentile_harmonic_centrality,rank_eigenvector_centrality,percentile_eigenvector_centrality,rank_pagerank,percentile_pagerank,rank_clustering_coefficient,percentile_clustering_coefficient,rank_core_number,percentile_core_number
Serpina3m,0.08286516853932584,38.57734455764612,0.0031487539310039664,0.2872289044618146,222.99003679636846,0.0015084047864427897,0.001309186960004201,0.30623132446276413,26,450.0,63.11360448807854,466.0,65.35764375876579,82.0,11.50070126227209,163.0,22.861150070126225,336.0,47.12482468443198,408.0,57.223001402524545,353.0,49.50911640953717,513.0,71.94950911640954,542.0,76.01683029453015
Serpina3n,0.17837078651685392,78.49142874383428,0.016715656062832852,0.2980870720000245,241.63671401856047,0.0014147163330599478,0.0019214804440671875,0.3682572098777903,77,248.0,34.78260869565217,260.0,36.4656381486676,23.0,3.225806451612903,125.0,17.53155680224404,247.0,34.642356241234225,410.0,57.503506311360454,144.0,20.196353436185134,435.0,61.00981767180925,203.0,28.471248246844322
Serpina6,0.033707865168539325,15.171644400736442,0.0002567992540969358,0.2073759382690961,168.02060638720616,9.778698553968903e-06,0.0007869447462367644,0.2550531066388971,21,688.0,96.4936886395512,693.0,97.19495091164096,450.0,63.11360448807854,691.0,96.91444600280505,696.0,97.61570827489481,702.0,98.45722300140253,653.0,91.58485273492286,616.0,86.39551192145862,689.0,96.63394109396914
Serpinb1a,0.1292134831460674,51.61412796570956,0.0011575720223138799,0.23080535033582114,193.77002697254923,0.00024388520236964635,0.0013306654372987013,0.4853049047778171,77,345.0,48.38709677419355,376.0,52.73492286115007,181.0,25.385694249649372,587.0,82.328190743338,572.0,80.22440392706872,565.0,79.24263674614306,349.0,48.94810659186536,227.0,31.837307152875177,203.0,28.471248246844322
Serpinb6a,0.0449438202247191,19.190669602888555,0.0017225303813271386,0.2640741765618986,200.4155831299279,0.0005722683566980117,0.0007867581147991661,0.2839043092157534,26,633.0,88.77980364656382,648.0,90.8835904628331,131.0,18.37307152875175,336.0,47.12482468443198,531.0,74.47405329593268,494.0,69.28471248246845,654.0,91.72510518934082,548.0,76.85834502103786,542.0,76.01683029453015
Serpinb6b,0.0351123595505618,16.61327627075695,0.00015144571395460312,0.2209769157073171,179.55497143812585,2.66661929233987e-05,0.0008015874653517875,0.3066545130783143,22,680.0,95.37166900420758,674.0,94.53015427769986,503.0,70.54698457223,621.0,87.09677419354838,644.0,90.32258064516128,670.0,93.96914446002805,641.0,89.90182328190744,511.0,71.66900420757362,658.0,92.28611500701263
Serpinb8,0.06741573033707865,27.806070285831755,0.0008415114018868819,0.2188924632034694,179.3187204140969,2.8422276421712732e-05,0.0011798213734030326,0.21615714117720905,26,497.0,69.7054698457223,556.0,77.98036465638148,234.0,32.81907433380084,641.0,89.90182328190744,647.0,90.74333800841514,659.0,92.42636746143057,387.0,54.27769985974754,692.0,97.054698457223,542.0,76.01683029453015
Serpinb9,0.03651685393258427,18.14228152536937,0.0007210132903490889,0.2055267193794774,169.88053813885554,7.106136030762199e-06,0.0009474412740774147,0.3573512499420923,22,675.0,94.67040673211781,665.0,93.26788218793828,262.0,36.7461430575035,695.0,97.47545582047685,692.0,97.054698457223,707.0,99.15848527349227,539.0,75.5960729312763,449.0,62.97335203366059,658.0,92.28611500701263
Serpinb9b,0.16713483146067415,89.30081995431915,0.002027726417926959,0.2726001424016327,241.63086291737886,0.0005999093767307205,0.001989417741584048,0.5921636325361479,77,264.0,37.02664796633941,231.0,32.398316970546986,112.0,15.708274894810659,227.0,31.837307152875177,248.0,34.78260869565217,490.0,68.72370266479663,130.0,18.2328190743338,95.0,13.32398316970547,203.0,28.471248246844322
Serpinc1,0.09550561797752809,40.095934958378045,0.0140587714723684,0.2975941118310846,226.02745178259536,0.004978645948701268,0.0012598374107386354,0.2448942503393395,35,416.0,58.345021037868165,438.0,61.430575035063114,29.0,4.067321178120617,126.0,17.67180925666199,315.0,44.17952314165498,344.0,48.2468443197756,362.0,50.771388499298745,639.0,89.62131837307152,496.0,69.56521739130434
Serpind1,0.03932584269662921,17.75833265608869,0.0015407955245816147,0.23858851572559403,188.18562012917147,6.278757529733772e-05,0.0008127100136197976,0.26295426907805775,23,660.0,92.56661991584852,666.0,93.40813464235625,150.0,21.037868162692845,529.0,74.19354838709677,593.0,83.16970546984572,611.0,85.69424964936886,636.0,89.20056100981768,598.0,83.87096774193549,640.0,89.76157082748948
Serpine2,0.0646067415730337,28.65873991109081,0.0007624962467801324,0.257962818836029,201.56348788813915,0.0003368392860356528,0.001101425422461522,0.28458563009306764,26,524.0,73.492286115007,545.0,76.43758765778401,251.0,35.203366058906035,364.0,51.05189340813464,518.0,72.65077138849931,528.0,74.05329593267882,437.0,61.29032258064516,546.0,76.57784011220197,542.0,76.01683029453015
Serpinf1,0.06320224719101124,28.658517363271685,0.0002765530428736232,0.27353719390987874,211.9618607398628,0.0008845371387078584,0.0010071581093732548,0.35275006382879215,26,530.0,74.33380084151473,546.0,76.57784011220197,440.0,61.711079943899016,222.0,31.136044880785413,441.0,61.85133239831697,425.0,59.60729312762973,520.0,72.9312762973352,455.0,63.8148667601683,542.0,76.01683029453015
Serpinf2,0.0449438202247191,19.102877804590307,0.000517549265949209,0.2263484309355636,180.70560192012144,4.7590053167781406e-05,0.0008782544547785668,0.1950321868188072,23,633.0,88.77980364656382,650.0,91.164095371669,338.0,47.40532959326788,607.0,85.13323983169705,642.0,90.04207573632539,623.0,87.37727910238429,579.0,81.20617110799438,703.0,98.59747545582047,640.0,89.76157082748948
Serping1,0.05758426966292135,26.08821531073016,0.0005135985081938716,0.2505529124726611,197.85029942011838,0.0002357367173037247,0.0010154460835734044,0.2925620575690997,26,572.0,80.22440392706872,583.0,81.7671809256662,339.0,47.54558204768583,444.0,62.272089761570825,542.0,76.01683029453015,567.0,79.52314165497896,515.0,72.23001402524544,531.0,74.47405329593268,542.0,76.01683029453015
Serpinh1,0.14606741573033707,66.12575871783031,0.05340239257889663,0.3390834345291846,260.4304843312742,0.01674949658359495,0.0015752818983901643,0.26988158292010106,59,299.0,41.935483870967744,322.0,45.16129032258064,2.0,0.2805049088359046,7.0,0.9817671809256662,114.0,15.988779803646564,217.0,30.434782608695656,268.0,37.58765778401122,581.0,81.4866760168303,337.0,47.26507713884993
Serpini1,0.1853932584269663,103.59826712167924,4.6317391500941045e-05,0.2717907619603629,248.66066753331884,0.0006879741054075934,0.0022174211190711043,0.6135786963555543,77,190.0,26.64796633941094,129.0,18.092566619915846,642.0,90.04207573632539,272.0,38.14866760168303,177.0,24.82468443197756,481.0,67.46143057503507,57.0,7.994389901823282,45.0,6.311360448807854,203.0,28.471248246844322
