Gene_Symbol,N_Measurements,N_Studies,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Std_Zscore_Delta,Direction_Consistency,Dominant_Direction,Cumulative_Effect,Combined_P_Value,Is_Weak_Signal
Npc1,2,1,0.0249616686177545,0.0249616686177545,0.0125437447557056,1.0,increase,0.049923337235509,0.5826758076836029,False
Rpsa,4,1,-0.1406263667371957,0.1406263667371957,0.13613729964199267,1.0,decrease,-0.5625054669487828,0.5865275588961648,False
Lpl,4,1,-0.07923030410836006,0.07923030410836006,0.10023723222202244,0.75,decrease,-0.31692121643344023,0.6367820181343643,False
Cfi,4,1,0.2688985139460397,0.2688985139460397,0.18858029965375162,1.0,increase,1.0755940557841588,0.47853183909933406,False
Il1rap,3,1,0.12837701973057383,0.12837701973057383,0.0635392676362533,1.0,increase,0.3851310591917215,0.567960122342084,False
Aldoa,4,1,0.05394101449516653,0.05394101449516653,0.13924754331118644,0.5,decrease,0.2157640579806661,0.7298883318280001,False
Gpi1,4,1,0.09574925746958092,0.09574925746958092,0.17397544635821705,0.75,increase,0.3829970298783237,0.6181213449373921,False
Gpt,4,1,0.061401770498920746,0.061401770498920746,0.11101253926373443,0.75,increase,0.24560708199568299,0.6496244309227616,False
Pkm,4,1,0.04277795202409243,0.04277795202409243,0.1785348305598054,0.5,decrease,0.17111180809636972,0.719027742951619,False
Aga,3,1,-0.14854123313318296,0.14854123313318296,0.09290675300228571,1.0,decrease,-0.4456236993995489,0.5527932513571758,False
Rab5b,4,1,0.06638916200118529,0.06638916200118529,0.23426194375471565,0.75,increase,0.26555664800474116,0.6337425753154099,False
Phospho1,4,1,-0.3024302401690824,0.3024302401690824,0.23402390389923808,1.0,decrease,-1.2097209606763295,0.4462232293305357,False
Dnajb11,4,1,-0.11066216806718696,0.11066216806718696,0.07272208895548089,1.0,decrease,-0.4426486722687478,0.6139901216496964,False
Cfl1,4,1,-0.22900196451889687,0.22900196451889687,0.08492352265242599,1.0,decrease,-0.9160078580755875,0.5190770650433794,False
Hyou1,4,1,-0.04292120977924099,0.04292120977924099,0.05217040985149405,0.5,decrease,-0.17168483911696397,0.6661678550146204,False
Dlg1,4,1,-0.16179629791900502,0.16179629791900502,0.08328199489908282,1.0,decrease,-0.6471851916760201,0.5732379771268321,False
Stx4a,4,1,-0.1474896570727944,0.1474896570727944,0.09859416237195662,1.0,decrease,-0.5899586282911776,0.5837809346996061,False
Slc2a4,4,1,0.018509977216219702,0.018509977216219702,0.08120673812171184,0.5,decrease,0.07403990886487881,0.709171135779909,False
Copa,4,1,-0.1923135289573492,0.1923135289573492,0.09377918832621639,1.0,decrease,-0.7692541158293968,0.548256971289494,False
Hnrnpa2b1,4,1,-0.09142218569445996,0.09142218569445996,0.12941524608018173,0.5,decrease,-0.36568874277783986,0.6254878147948941,False
Cd47,2,1,-0.08043629651563905,0.08043629651563905,0.08817839271721024,0.5,decrease,-0.1608725930312781,0.5498611704127392,False
Aqp1,4,1,0.09622933993731106,0.09622933993731106,0.1522171935116638,0.75,increase,0.38491735974924424,0.6199720172308647,False
Arhgdia,4,1,-0.05441735428205326,0.05441735428205326,0.10709413318353651,0.5,decrease,-0.21766941712821303,0.6550755864233653,False
Trf,4,1,0.1537597363424321,0.1537597363424321,0.1386260167576921,0.75,increase,0.6150389453697284,0.5760917194138211,False
Hspd1,4,1,-0.06690810148408355,0.06690810148408355,0.06660659619415975,1.0,decrease,-0.2676324059363342,0.6477502856134392,False
Cfh,4,1,0.12512010615323926,0.12512010615323926,0.14631639237895433,0.75,increase,0.500480424612957,0.597878730045512,False
Dnajc9,3,1,0.010159996819656666,0.010159996819656666,0.0678011225214334,0.6666666666666666,increase,0.03047999045897,0.6473990222501487,False
Nucb1,4,1,0.06905770924130639,0.06905770924130639,0.05838589248056623,0.75,increase,0.27623083696522555,0.6464352178041883,False
Dnajc8,4,1,-0.03588852887966833,0.03588852887966833,0.04440156940604272,1.0,decrease,-0.1435541155186733,0.671562506377072,False
Cma1,4,1,0.19869858032458715,0.19869858032458715,0.17652550817514268,0.75,increase,0.7947943212983486,0.5365799168518676,False
