metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
D-Fructose 1-6-bisphosphate,,4860000.0,,1490000.0,,355000.0,,11500000.0,,2140000.0,,1770000.0,,2990000.0,,543000.0,,2250000.0,,1900000.0,,2950000.0,,2880000.0,,2150000.0,,5180000.0,,2120000.0,,527000.0
D-Glucono-1-5-lactone 6-phosphate,,63500.0,,11300.0,,11100.0,,270000.0,,23400.0,,43400.0,,153000.0,,37700.0,,42000.0,,95000.0,,55700.0,,31400.0,,150000.0,,179000.0,,52500.0,,47400.0
D-Glucoronate,,105000.0,,121000.0,,264000.0,,175000.0,,231000.0,,316000.0,,214000.0,,0.0,,142000.0,,0.0,,0.0,,161000.0,,3800.0,,0.0,,184000.0,,3730.0
D-Glucose,,10100000.0,,7130000.0,,7940000.0,,16200000.0,,3180000.0,,3810000.0,,9780000.0,,6510000.0,,5430000.0,,5940000.0,,4410000.0,,6750000.0,,9660000.0,,7570000.0,,10800000.0,,8410000.0
D-Glyceraldehyde 3-phosphate/Glycerone phosphate,,4360000.0,,2460000.0,,662000.0,,8870000.0,,2330000.0,,2390000.0,,2980000.0,,1170000.0,,3430000.0,,3030000.0,,3880000.0,,3390000.0,,3280000.0,,5830000.0,,3150000.0,,1540000.0
D-Hexose-phosphate,,14600000.0,,6590000.0,,2580000.0,,58200000.0,,9800000.0,,9660000.0,,32800000.0,,6660000.0,,12300000.0,,17100000.0,,17100000.0,,12400000.0,,33600000.0,,36100000.0,,11600000.0,,16600000.0
D-Rhamnose,,167000.0,,25300.0,,90500.0,,126000.0,,32700.0,,19200.0,,63300.0,,168000.0,,39800.0,,138000.0,,107000.0,,79900.0,,145000.0,,79000.0,,74000.0,,209000.0
D-Ribose,,292000.0,,176000.0,,343000.0,,352000.0,,114000.0,,112000.0,,765000.0,,145000.0,,233000.0,,215000.0,,110000.0,,187000.0,,153000.0,,119000.0,,240000.0,,207000.0
Decanoic acid,,503000.0,,379000.0,,414000.0,,434000.0,,740000.0,,432000.0,,341000.0,,484000.0,,549000.0,,557000.0,,439000.0,,789000.0,,411000.0,,406000.0,,495000.0,,248000.0
Decanoylcarnitine,22200.0,,13500.0,,63900.0,,70700.0,,5520.0,,10600.0,,58700.0,,77000.0,,4300.0,,68600.0,,69800.0,,11200.0,,32100.0,,44000.0,,5240.0,,102000.0,
Dehydroascorbate,13500.0,,60000.0,,35900.0,,20600.0,,48400.0,,26000.0,,31300.0,,19800.0,,44400.0,,31400.0,,21300.0,,46200.0,,30100.0,,14200.0,,36400.0,,23400.0,
Diethanolamine,47300.0,,13500.0,,16000.0,,27600.0,,13300.0,,18100.0,,41700.0,,17400.0,,10900.0,,9290.0,,18300.0,,13500.0,,22100.0,,17700.0,,19800.0,,16200.0,
Dimethylglycine,,48200.0,,312000.0,,247000.0,,3890.0,,358000.0,,240000.0,,363000.0,,83400.0,,193000.0,,176000.0,,104000.0,,206000.0,,52200.0,,37700.0,,88800.0,,115000.0
Diphosphate,,22500000.0,,7620000.0,,21900000.0,,21100000.0,,8210000.0,,8640000.0,,26800000.0,,35000000.0,,8370000.0,,25100000.0,,30900000.0,,9260000.0,,27300000.0,,28800000.0,,7280000.0,,33800000.0
