Gene,N_Observations,Separation_Score,Bimodality_Coefficient,Cluster0_Mean,Cluster0_Std,Cluster0_N,Cluster1_Mean,Cluster1_Std,Cluster1_N,Overall_Mean,Overall_Std
4,12,1.8809970555383577,0.4726059740043584,0.580047679405531,0.18450415849888469,3,-0.026146247723368335,0.13676850287718612,9,0.12540223405885653,0.30239128732783876
AEBP1,11,1.867819803704051,0.5334444042244103,0.09388667965369676,0.19301501072027136,9,-0.8678002649499984,0.3208563610772571,2,-0.08096549209242963,0.43217927839268827
1,14,1.8619862757811172,0.39056083302126315,-0.20024719712974096,0.16220634059244454,7,0.361141285934209,0.13829345581633576,7,0.08044704440223403,0.3186020176555999
FN1,12,1.7818961100493242,0.3452575536085806,0.6151999518508555,0.24653499220508124,5,-0.205475220108524,0.21302786964249448,7,0.13647276820788412,0.4642162923867727
DCN,10,1.777412255049223,0.35737404257442135,-0.29948435412327534,0.17332619727837686,4,0.23070529852925822,0.12396681333094332,6,0.018629437468244782,0.2978283180236659
AGRN,12,1.7565187825805244,0.3504367730396309,0.04407200980200717,0.15738003280151378,8,-0.5226450162260767,0.16425644091470382,4,-0.14483366554068744,0.3112497672776929
EMILIN1,10,1.7558808670947115,0.3199689695733728,0.003102966327530785,0.11347009057799451,7,-0.38146920402670165,0.10454942125856151,3,-0.11226868477873894,0.20820688232860468
SERPINA3,10,1.754961182705621,0.49110594463775453,0.4631278545611341,0.20002077916726743,8,-0.4770328792566199,0.3346951916944411,2,0.2750957077975833,0.4425326844580617
VTN,10,1.702915210896368,0.3476431778424231,0.1627525122938467,0.3801040748522458,5,1.993356715120895,0.6938785144825859,5,1.078054613707371,1.0727307151107097
HSPG2,11,1.6462182055620955,0.30610504869054805,0.010586906754166412,0.10551744479322893,9,-0.328381653770525,0.09938998557014246,2,-0.051043740613959304,0.1673265140289002
COL1A2,10,1.625403815537748,0.3362285827619528,-0.4823069053333768,0.15644953813794243,3,-0.005055842546028941,0.13617045845930578,7,-0.14823116138223327,0.26106323789578656
FBN1,12,1.6015686598164554,0.3867053828162751,0.24843459587634972,0.21533183647787604,5,-0.34064127002785183,0.151479972459314,7,-0.09519299256776781,0.3421227690774969
OGN,10,1.5587426903727497,0.3905602470092566,-0.2398620924527724,0.1861898075748939,2,0.25301394442599345,0.12901121772768637,8,0.1544387370502403,0.24313932295149335
COL12A1,12,1.5577478283182942,0.2994656564423509,0.07221543594344539,0.20370711165734384,7,-0.5023380485332873,0.16412889249681145,5,-0.16718184925519322,0.3400972151257672
ANXA1,10,1.55093448294544,0.4464843624489795,0.011044895921328533,0.09406821491604785,6,-0.5191451075490616,0.24678375194685004,4,-0.2010311054668275,0.3116641318337171
COL6A2,10,1.5383832839687495,0.2876454240607223,0.15802873150398847,0.13026093132271677,4,-0.3001725440007779,0.16658504781629882,6,-0.11689203379887134,0.27170780098297975
CALM1,42,1.53024029045262,0.5013695375778299,-0.14030659363797157,0.18384185078706428,31,0.5014592220345316,0.23454706458561841,11,0.027774929514350694,0.3449225737705621
SERPING1,11,1.5158597990116458,0.26402478069212737,-0.32683639466264336,0.23047732108860644,4,0.39304524459790124,0.24342256063522705,7,0.1312701030486123,0.42064785633605917
COL3A1,12,1.5006166778663497,0.3283200050181306,-0.4943868387175809,0.2147947840412323,6,0.04277792421327522,0.14216789280614436,6,-0.22580445725215284,0.3245161785362483
