Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
Q6PCB0,VWA1,-6.514513815332253,11.558950294466728,4,-1.1271808683961124,0.3416805236474856,False,Decrease,0.6985141528709135,False
Q6UVK1,CSPG4,-8.90716487864796,5.130530288584919,3,-3.007030707047347,0.09508164707549671,False,Decrease,0.6105331041975713,False
Q6YHK3,CD109,-18.140054116055726,18.70290856411313,3,-1.679925626185476,0.23498545510184687,False,Decrease,0.6680661139880035,False
Q7Z7G0,ABI3BP,9.797194954339242,26.935019919837668,3,0.6300065670296814,0.5930703179159473,False,Increase,0.815220962765005,False
Q86UX2,ITIH5,-4.66779832768914,8.584784566215891,3,-0.9417666571225767,0.44572460256071933,False,Decrease,0.745160104793818,False
Q8IUX7,AEBP1,-10.436684788557157,17.568777305251643,5,-1.3283301530594225,0.25478894919535966,False,Decrease,0.6680661139880035,False
Q8N2S1,LTBP4,0.6808766746455532,17.899279965516044,3,0.06588605778817104,0.9534619994233753,False,Increase,0.9653062478634172,False
Q92626,PXDN,4.682609001602938,9.100382286850719,4,1.0291016034280034,0.37914303128450433,False,Increase,0.7031023435188959,False
Q92743,HTRA1,20.293345868584325,14.31110067541857,3,2.4560728693866154,0.1333944794930051,False,Increase,0.6302405842712994,False
Q99584,S100A13,-7.99674546213929,10.642033812271233,3,-1.301515262961288,0.3228198323232796,False,Decrease,0.6985141528709135,False
Q99715,COL12A1,-3.597818514804596,12.292788056909092,6,-0.7169097447715345,0.5055135571729781,False,Decrease,0.7631926428603472,False
Q9BXN1,ASPN,1.8150274376549866,11.017725580129332,4,0.3294740687548838,0.7634604940521235,False,Increase,0.8825819895779867,False
Q9GZM7,TINAGL1,9.449122684965857,10.533555686940138,4,1.7940993460890329,0.17068593890518868,False,Increase,0.6503008986127164,False
Q9H8L6,MMRN2,2.214382813388002,9.768546173929666,4,0.4533699844297722,0.6810669340691597,False,Increase,0.8506813046227819,False
Q9NT22,EMILIN3,-28.35804842180984,19.190934515108218,3,-2.5594157820404653,0.12472945001474955,False,Decrease,0.6281414293649948,False
Q9UBR2,CTSZ,14.960424095556709,15.806553058001562,3,1.6393336701049226,0.24281733672934402,False,Increase,0.6680661139880035,False
Q9UBX5,FBLN5,-4.849528569781604,14.913879563454996,3,-0.563208911529703,0.6300122398093171,False,Decrease,0.8291983446533597,False
Q9Y6C2,EMILIN1,-0.3199094143670749,7.559227635384042,5,-0.09463125489414964,0.9291586592412351,False,Decrease,0.9555385580840461,False
A6NMZ7,COL6A6,5.888133287365612,15.751823884821343,4,0.7476128898367752,0.5089602149366295,False,Increase,0.7631926428603472,False
P02462,COL4A1,0.6754213425093539,9.005421311159452,5,0.16770875932629004,0.8749500631389338,False,Increase,0.935192526502598,False
P05109,S100A8,4.055422276199454,22.56514314094752,5,0.40186759864126126,0.7083279557424882,False,Increase,0.861362084706044,False
P08311,CTSG,1.62954621981887,8.323543482291957,4,0.391551079966284,0.7215448898500152,False,Increase,0.8647927723937683,False
P15924,DSP,-6.572826221261906,8.95269647739975,3,-1.2716245874397294,0.3313745307060867,False,Decrease,0.6985141528709135,False
P04080,CSTB,2.692287572797012,7.042856089403081,4,0.7645442526783753,0.500179199715058,False,Increase,0.7631926428603472,False
P13727,PRG2,0.5929464275704989,8.38140143322476,3,0.12253479885206,0.9136782324471506,False,Increase,0.9489564889770776,False
P14780,MMP9,-2.333358594707996,4.271380097606633,3,-0.9461802850503334,0.4439288999420903,False,Decrease,0.745160104793818,False
P25940,COL5A3,0.1518266387080137,0.3638104233753452,3,0.7228255027574462,0.5448863255344447,False,Increase,0.7825239741155462,False
Q08188,TGM3,-3.0699415702233535,0.9642260123201382,3,-5.514573044031508,0.031345452071360747,True,Decrease,0.5378219671191371,False
Q8IVN8,SBSPON,-5.219263147648551,21.155242785732547,3,-0.42731861039646873,0.7107558306316744,False,Decrease,0.861362084706044,False
Q96FQ6,S100A16,-0.906913202336367,0.9923650841956726,3,-1.5829050916022047,0.25427429679486235,False,Decrease,0.6680661139880035,False
Q9BXX0,EMILIN2,-8.087812200400652,14.626195207327038,3,-0.9577679946560378,0.43925124181004715,False,Decrease,0.745160104793818,False
A2ASQ1,Agrn,0.6138074658280624,7.566524539853931,3,0.14050647840756558,0.9011336745562892,False,Increase,0.9468526937787591,False
A6H6E2,MMRN2,-1.2948291471144866,1.748075812262421,5,-1.65629314923638,0.17300375918662092,False,Decrease,0.6503008986127164,False
B2RPV6,MMRN1,9.302795448716745,9.83500348107205,3,1.6383231994384155,0.2430165800891837,False,Increase,0.6680661139880035,False
B2RXS4,PLXNB2;MKIAA0315,-1.9770700005928306,3.393761796304307,5,-1.3026438456627365,0.2626312244705036,False,Decrease,0.6680661139880035,False
E9PV24,FGA,1.1139686992820887,5.507813601070943,6,0.4954152591769687,0.6413096458578302,False,Increase,0.8329360340623612,False
E9PZ16,HSPG2,0.2610699614599478,0.8828846222471596,3,0.5121693437447715,0.6594845603296466,False,Increase,0.8441319968510164,False
E9QPX1,COL18A1,5.9220747123675395,4.677949342295681,3,2.192698880960025,0.15962813189591385,False,Increase,0.6503008986127164,False
F8VQJ3,LAMC1,0.12965703334304143,1.5505605264306996,3,0.14483315257983045,0.8981203751684752,False,Increase,0.9468526937787591,False
F8WIT2,ANXA6,-1.7994394948782986,2.451013398155539,3,-1.271604893151835,0.33138025664599224,False,Decrease,0.6985141528709135,False
G3X8T9,SERPINA3N,6.713817951474707,5.601561448253405,3,2.0759700508771655,0.17354655883222803,False,Increase,0.6503008986127164,False
M0QWP1,AGRN,2.836335766459823,1.0597153640145525,3,4.635846399567502,0.04351619408804708,True,Increase,0.5594408843831523,False
O08573,LGALS9,-7.025161067753851,6.627487964454195,4,-2.1200071898832658,0.12418162642281594,False,Decrease,0.6281414293649948,False
O08677,KNG1,4.427090220417236,2.735097918954084,4,3.2372444070376676,0.04795114644345344,True,Increase,0.5594408843831523,False
O08797,SERPINB9,0.6470619178455811,0.32863531487951075,3,3.4102972705852057,0.07627589116010292,False,Increase,0.6088329127612317,False
O08800,SERPINB8,3.167598263514488,4.42553059743368,4,1.4315111798577762,0.247682428229687,False,Increase,0.6680661139880035,False
O09118,NTN1,2.498514390086759,2.714327486429458,3,1.5943374145928428,0.25189787199392955,False,Increase,0.6680661139880035,False
