Protein_A,Protein_B,Raw_Correlation,Latent_Similarity,Difference
COL9A3,Ncan,0.08213570156156826,0.7127077,0.6305719967836161
Col25a1,Serpini1,0.12654553924703546,0.7570784,0.6305328699479108
HTRA4,NTN1,0.15436879986220203,0.7848909,0.6305220902592579
Cspg5,SFTPB,0.09709272381193851,0.72759956,0.6305068374025085
HYAL1,MST1;MST1L,0.23793637267919895,0.8683662,0.6304298091712344
CXCL15,IL11,0.10011688382752902,0.73050296,0.630386079238572
Agt,Hmcn2,0.15046729658817642,0.78075016,0.6302828588607372
Adam11,Pik3ip1,0.23186270829578243,0.86213666,0.6302739537105957
COL9A3,Col11a1,0.08308406763797745,0.7132543,0.6301702052997972
COL9A3,Cspg5,0.08585715947710251,0.7159163,0.6300591165009859
IGFBP3,PAPPA,0.10816512564321679,0.7380225,0.6298573805938132
FGL2,LGALSL,0.07301475193545717,0.7028271,0.6298123440499555
Igfbp6,Plxnd1,0.14016222865434813,0.76993364,0.6297714123025305
COL6A5,WISP2,0.09267974878245605,0.7224328,0.6297530434042811
LGALSL,MMP2,0.18060077701535443,0.8101242,0.6295234414485433
Chad,Serpinb5,0.1700902657333124,0.7990362,0.6289459390815985
HTRA4,Ltbp2,0.09113027443295874,0.720066,0.6289357365190371
Anxa6,Fgf13,0.29091708504262737,0.91956836,0.6286512748092098
PLXNB2;MKIAA0315,Plg,0.090417295705217,0.71905464,0.6286373436342301
ISM2,Mmp2,0.0885667039455108,0.71697456,0.6284078525005646
Efemp2,REG1A;REG1B,0.08742817466152852,0.71583116,0.6284029858838206
P4ha1,Sema4d,0.18366839776090502,0.8120218,0.628353394174062
AGT,SERPINB12,0.08125778552012805,0.7095656,0.6283077943710768
Adam23,SEMA3D,0.08041830756360606,0.70868796,0.628269653537926
COL28A1,Mmrn2,0.10091563028187199,0.7289942,0.6280785604110296
PLOD3,Serpind1,0.07614353689990445,0.70381004,0.6276664992824991
CTSA,Ltbp2,0.09997803708403141,0.72757316,0.6275951192727801
Spock1,Wnt10a,0.21586698804441282,0.84319204,0.6273250528758447
Lama4,SERPINB8,0.1447575202416364,0.7720352,0.6272776612807329
LGALS9,PAMR1,0.12389280964960847,0.75062305,0.6267302377022287
DSP,PTN,0.2865519439475956,0.91304576,0.6264938200218257
Dpt,Lgals8,0.09467105673219575,0.72113425,0.6264631886634646
Cd209d,Igfbp7,0.07374194599543661,0.700135,0.6263930466040507
Hmcn2,Sema4d,0.15069860237339408,0.77688766,0.6261890528847847
Egln1,Vwf,0.15640997714038368,0.7825486,0.6261386292553377
Ogfod1,Plxnd1,0.1851356925786799,0.81104875,0.6259130535303289
Anxa6,Egln1,0.1809936628029458,0.8058707,0.6248770490004905
Serpina3m,Serpinf2,0.1573138922637084,0.7818963,0.6245824008995912
LOXL4,SMOC1,0.17842188285240573,0.8029389,0.6245169956838186
FBLN2,SPARC,0.1267177895350653,0.75117475,0.6244569584088129
Gpc4,Sema4a,0.24411564175156392,0.8683901,0.6242744415614243
LEFTY2;LEFTY1,TSKU,0.29315886639445926,0.9172428,0.6240839586368212
Col25a1,Matn4,0.12884481919577995,0.7529162,0.6240713976545008
ANGPTL3,Ltbp2,0.09082483201391739,0.7148842,0.6240593895398852
COL9A3,LGALS9,0.0963163100826777,0.72034186,0.6240255511653386
EMID1,REG3A,0.09060092609833567,0.71453494,0.623934012237083
DSP,PPBP,0.12366750437236554,0.7475714,0.6239039043762612
Ctsa,Igfbp4,0.10693504627940986,0.73056585,0.6236307996869292
Cd209d,Plxna2,0.24471190387282327,0.8680492,0.6233373004766946
P4ha1,Plxdc1,0.20282237481194226,0.8261212,0.6232988362399987
CTSA,Fcn1,0.09997803708403163,0.7232384,0.6232603714814896
P4ha1,Serpini1,0.1994681385845317,0.8227228,0.6232546540408955
Mmp2,PAPPA,0.09027264977941811,0.7134675,0.6231948289727182
CCL21,Serpina10,0.09463376279987709,0.71768254,0.6230487776168404
FGF2,SPON2,0.14799664751754701,0.7709895,0.6229928301168829
NID2;NID-2,PAMR1,0.10241329794633873,0.7253436,0.6229302870680046
