,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10
CRELD2,-0.038455214,-0.23284385,0.042064205,0.55433285,0.2555813,0.04303255,-0.5694378,0.24066582,0.20865189,-0.04264433
CRISPLD1,-0.17743836,-0.17266667,-0.06748749,0.06949013,-0.16756001,0.1568355,-0.13072006,-0.38188332,0.21917303,0.41857743
CRISPLD2,-0.1055188,-0.1210106,-0.038458478,-0.2427491,-0.11166828,-0.07376757,0.13058582,0.056141105,0.15553425,-0.057518948
CRLF1,0.042376347,-0.61588275,0.006829357,0.15985902,0.809607,-0.09345702,-0.3909897,0.60980004,0.07515378,-0.60755163
CRLF3,-0.027768623,-0.20792642,-0.09168504,-0.09742785,0.08016442,-0.106095254,0.05915327,0.15583658,0.15113914,-0.15038775
CSPG4,0.16516691,0.46772066,-0.37941587,-0.047025308,0.06618131,0.4583739,-0.018733097,-0.5715948,0.5416691,0.107087374
CST12,0.7255542,-0.034174867,0.88572997,1.5307419,-1.4836025,0.3842242,-0.023136977,0.7219232,-1.4016997,0.43333226
CST3,2.1434038,-0.85025,2.066213,1.0679837,-2.081028,0.20935576,0.233559,-0.46163753,-1.12816,0.07650068
CST6,0.31223807,-0.38778678,-0.34144604,-0.21202868,-0.024835177,0.10680916,0.12808447,0.18247633,0.28645104,0.028515667
CSTA,0.113780715,0.71068186,-0.7889347,-0.2248803,0.45432132,0.09302439,-0.44244254,-0.21191101,-0.24614647,0.25335518
CSTB,-0.19232136,-1.8551786,-1.6021066,0.8093634,-2.2437155,-0.09622635,-3.286206,0.08894959,-1.7570019,1.0615429
CTGF,-0.16343187,-0.06279191,-0.09273752,-0.048252117,-0.18074739,0.070691414,-0.013665119,-0.18196118,0.3287835,0.17581567
CTHRC1,0.05828471,-0.23929766,-0.21048349,-0.09640792,-0.19325612,0.12318296,0.04365303,-0.16996922,0.4193839,0.4136088
