early_protein,late_protein,lag,f_stat,p_value,df_denom,df_num
Fbn1,NPNT,2,0.08010749121138475,0.9236033789074309,10.0,2.0
Fbn1,NPNT,3,0.16992301545586397,0.9133531380296532,7.0,3.0
Fbn1,DSP,1,0.15715685767806745,0.6982182905724306,13.0,1.0
Fbn1,DSP,2,0.10624240804201163,0.9002080263578323,10.0,2.0
Fbn1,DSP,3,0.7924562858899111,0.5356439170058599,7.0,3.0
Fbn1,ADAM15,1,0.08912797469246125,0.7700072231610838,13.0,1.0
Fbn1,ADAM15,2,0.05560001035714145,0.9462077293105633,10.0,2.0
Fbn1,ADAM15,3,0.45116354918821866,0.7244891868310792,7.0,3.0
Fbn1,SDC2,1,0.03016425466647562,0.8647933282979852,13.0,1.0
Fbn1,SDC2,2,0.1740564556414772,0.8427411608301101,10.0,2.0
Fbn1,SDC2,3,0.10621068661953426,0.9537979850701229,7.0,3.0
Fbn1,COL28A1,1,0.00010688027049748946,0.991908354190196,13.0,1.0
Fbn1,COL28A1,2,0.42294466298169897,0.6663066651784834,10.0,2.0
Fbn1,COL28A1,3,0.542006908155929,0.6687314918337925,7.0,3.0
Fbn1,PLXNB2,1,0.05829161083354309,0.8129832054885313,13.0,1.0
Fbn1,PLXNB2,2,0.19722586231929198,0.8241230613608661,10.0,2.0
Fbn1,PLXNB2,3,0.20623475020061519,0.8889358013705491,7.0,3.0
Fbn1,SERPIND1,1,0.014308943293914165,0.9066130200645721,13.0,1.0
Fbn1,SERPIND1,2,0.22297746459078177,0.804005948007572,10.0,2.0
Fbn1,SERPIND1,3,1.364452606394611,0.3297177441536282,7.0,3.0
Fbn1,WISP2,1,0.00959849513527283,0.9234490696127854,13.0,1.0
Fbn1,WISP2,2,0.09649759207288557,0.9088472655439417,10.0,2.0
Fbn1,WISP2,3,0.2630332565601844,0.8500216281529113,7.0,3.0
Fbn1,CTSG,1,0.002311765923447627,0.9623826507597739,13.0,1.0
Fbn1,CTSG,2,0.1617475577187176,0.8528373594932688,10.0,2.0
Fbn1,CTSG,3,0.3075026773013271,0.8195316835408434,7.0,3.0
Fgfbp1,FBN3,1,0.021528059845184497,0.8856004879124963,13.0,1.0
Fgfbp1,FBN3,2,0.2684029470640397,0.769936842313783,10.0,2.0
Fgfbp1,FBN3,3,0.3871288155693221,0.7659705388413394,7.0,3.0
Fgfbp1,NPNT,1,0.034332794665730484,0.855860356988863,13.0,1.0
Fgfbp1,NPNT,2,0.48662657347679966,0.6285256541843949,10.0,2.0
Fgfbp1,NPNT,3,0.1578929814388962,0.921282338964749,7.0,3.0
