Protein,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
SFTPB,0.11991199119911991,4.7857208628351824e-05,0.016761972526069327,0.7914809597533023,0.0011156500518030553,0.02133229247552026,7.162769302632559e+59
SFTPC,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SFTPD,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SPARCL1,0.1628162816281628,0.003387492608539874,0.01859628291430763,0.8536117199025152,0.0013196369655227192,0.02412317053239463,1.0793443906022286e+60
SPON1;MKIAA0762,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SRPX2,0.2431243124312431,0.005141923884018358,0.07175578495650903,0.8764375011714299,0.0018389709367133554,0.05959630035045517,1.0224447009489849e+61
STFA2L1;STFA2,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
SVEP1,0.1034103410341034,0.0004151663330797103,0.01776917832405591,0.7634211978574625,0.0009708299566259913,0.021008196931880725,7.195490203154262e+59
TGFB2,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
TNFSF10,0.1276127612761276,4.745335032769064e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189082857e+60
TNFSF12,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
TNFSFM13;TNFSF13,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
VWA9,0.099009900990099,6.461732810579149e-05,0.009117575330370246,0.7729252027164822,0.001042135325643297,0.015399287497668782,2.1021613843628374e+59
WNT3A,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
WNT4,0.0968096809680968,0.00013226359346654195,0.007457316666482687,0.7708349950367208,0.0009877820453091408,0.013903683525358935,1.6753441592509443e+59
WNT9A,0.1276127612761276,3.735730093581707e-05,0.018095511139393342,0.7925601777566331,0.001280816991511185,0.023893474050045348,7.2423788846326285e+59
A2M,0.056105610561056105,0.00023019923137688217,0.012541431289100272,0.779627234650629,0.0005835308600788279,0.014280505506837784,4.160313677970988e+59
ACAN,0.1452145214521452,0.0007208870666802363,0.058638421180783974,0.805023203749052,0.0012160054330967987,0.04698596749454749,5.975517621804541e+60
AGRN,0.050605060506050605,0.005776789132657759,0.004353224291962745,0.8411233315502343,0.0005588764334126345,0.009286557107609544,5.934121151813511e+58
ANGPTL5,0.19581958195819582,0.00021586226170340958,0.07336822391210862,0.8187506378151997,0.0016643035198166806,0.058499874142760123,8.19129958063948e+60
COL14A1,0.1562156215621562,0.0007414838400139573,0.046069757141841194,0.8357031680523225,0.0012183150326200642,0.03881602774430208,5.345707653669322e+60
COL15A1,0.15071507150715072,0.002677580533383735,0.047867593602335064,0.8297563836412368,0.0012034414035032746,0.039956375778792345,5.1978556404748345e+60
COL1A1,0.058305830583058306,0.0007269449411901542,0.010238829788080718,0.7950589307614333,0.0006176692312733199,0.012823168876553213,3.1058768007782027e+59
COL1A2,0.056105610561056105,0.00015750473725786675,0.012068806561375886,0.7807509730687602,0.0006023732809093123,0.013998480738198683,3.9222200765594795e+59
COL3A1,0.07150715071507151,0.0012503452988470653,0.01789527223883865,0.7954524090164568,0.0006771142417983954,0.018128594648023213,8.74617842772037e+59
COL6A2,0.17271727172717272,0.0008917191278599225,0.059061321796423503,0.8306960911403094,0.0014059174370287262,0.04803847936149158,6.940902452500992e+60
COL6A6,0.066006600660066,0.0010468007153138221,0.008954354642114758,0.8023626681186273,0.0006391671589489849,0.012401885112903448,2.7463502737112165e+59
CRLF1,0.1903190319031903,0.0007863121113873501,0.07438119316408565,0.8386165163473107,0.00156079171313554,0.058736640231080994,9.337556871042018e+60
CTSD,0.058305830583058306,0.0005573244549124516,0.010835402819188204,0.8004587708087725,0.0005900974510207691,0.013232292453569935,3.75232641909371e+59
CXCL14,0.1749174917491749,0.003568088086341672,0.04527805610940961,0.8037403710502813,0.0013669802920863957,0.03894509672543313,5.022210101576928e+60
ECM1,0.1331133113311331,0.0017495141584643046,0.04678920860799709,0.8132387590774923,0.0010881797255049334,0.03867650661555882,4.5023896106044315e+60
FBLN7,0.19581958195819582,0.00021586226170340958,0.07336822391210862,0.8187506378151997,0.0016643035198166802,0.058499874142760123,8.19129958063948e+60
FBN1,0.1771177117711771,0.000630018949031467,0.059496191249443074,0.8398533480045414,0.0014391502562119676,0.04852324772507925,7.081655334436984e+60
FGG,0.1562156215621562,0.010092418933523308,0.04659139430833799,0.9440934052218655,0.0012642574619000837,0.039703633303630824,4.8089090771340296e+60
FMOD,0.0803080308030803,0.008386521471530413,0.013582769043207696,0.9012693524724957,0.0007490948414088537,0.016107534256147485,5.2830161726346855e+59
GPC1,0.12321232123212321,0.0008481024313885133,0.039351951338656675,0.8292345370303499,0.000980414736760243,0.033369283292634284,4.029429503996195e+60
HAPLN3,0.19581958195819582,0.00022555486091927837,0.07336822391210862,0.8187506378151997,0.00166430351981668,0.058499874142760123,8.191299580639485e+60
HPX,0.099009900990099,0.0006494041474632044,0.02546872193781951,0.8135722159163373,0.0008855670678654139,0.02395501409655518,1.709105300332879e+60
HRG,0.1144114411441144,0.006894466979737621,0.035715901124941926,0.8772498904455185,0.0009143891960113343,0.03077165444324161,3.231486096531726e+60
HSPG2,0.06820682068206821,0.0006542504470711388,0.011126109848674636,0.8152227865353568,0.0006678989777392509,0.01388321417166586,4.018812695775441e+59
ITIH1,0.1452145214521452,0.0007905526235442927,0.0460321756091479,0.8087625278636866,0.0011538738318657615,0.03853223801014975,4.75426719084441e+60
ITIH2,0.1716171617161716,0.0007863121113873501,0.061417417416219505,0.8400069499810505,0.0014016216556882771,0.049513069781080554,7.209517480382704e+60
ITIH4,0.1408140814081408,0.0006324420988354342,0.045376758449771876,0.8306109997442421,0.0011566001189214936,0.03798596380699509,4.5853545119767616e+60
LOXL2,0.20132013201320131,0.007636887036721293,0.06668039437750425,0.8403009664798989,0.0016191669084172182,0.054022060916991056,8.210383631094013e+60
LOXL3,0.20902090209020902,0.0006215379247175819,0.08104219331962598,0.8498433085549042,0.0017066836837135487,0.06393346211093139,1.0868844048623684e+61
LTBP4,0.10451045104510451,0.0005306698070688126,0.02199371050181816,0.8170765403996864,0.000915674299632549,0.02196756123975776,1.4318341505508138e+60
MATN4,0.1925192519251925,0.004557338993811276,0.05946274031470882,0.8489421809395633,0.0015310621446763435,0.04887528506438044,6.814324657741601e+60
NID2,0.0484048404840484,0.0014538898823803085,0.007573892072949389,0.8175353522473796,0.0005329416492872019,0.010918027887391104,1.8554821289819032e+59
NPNT,0.0814081408140814,0.0007309835241967661,0.0117541100179052,0.7792832671007808,0.0007839313568747876,0.014849216514029031,4.605038166351908e+59
PLOD1,0.0924092409240924,0.0012527684486510326,0.022440770241942954,0.7880279487101788,0.0008106948343503084,0.021750488056203922,1.3618396610888296e+60
PRG4,0.19581958195819582,0.0003802325900725168,0.07349107481712493,0.817826930107744,0.0016678106998121189,0.05858437113353816,8.174216908847999e+60
