Protein,Consensus,Consensus_Rank,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
THBS2,1.2510468830809234,87,0.1958195819581958,0.0005193617746502,0.069584887149535,0.8340887577605218,0.0016190886675946,0.055946246229534,8.539264477144265e+60
MXRA5,1.221835281891149,88,0.1936193619361936,0.0002683638407893,0.0696584132499097,0.8315573085942548,0.0015984909027404,0.0558982723167219,8.484751118128593e+60
CTHRC1,1.2184911229083515,89,0.1947194719471947,0.0001776976522909,0.0693549318823967,0.8301868687429194,0.0016069514728023,0.0557471555358504,8.462130038107679e+60
REG1A;REG1B,1.211129884794419,90,0.1859185918591859,0.00046218890122,0.0687133382912271,0.8524379057576316,0.0015244181820101,0.0552709971745575,8.576826687330245e+60
ANGPTL3,1.204260629667599,91,0.1859185918591859,0.000265509908798,0.0687133382912271,0.8524379057576315,0.0015244181820101,0.0552709971745575,8.576826687330245e+60
CD209,1.204260629667599,92,0.1859185918591859,0.000265509908798,0.0687133382912271,0.8524379057576315,0.0015244181820101,0.0552709971745575,8.576826687330245e+60
MATN4,1.1933516367594557,93,0.1925192519251925,0.0045573389938112,0.0594627403147088,0.8489421809395633,0.0015310621446763,0.0488752850643804,6.814324657741601e+60
P4HA2,1.1858210555436461,94,0.1837183718371837,0.0081623801146634,0.0501005569784214,0.8877085774127038,0.0014231572108889,0.0431855747821468,5.809146256951764e+60
REG3A,1.171617242246068,95,0.1837183718371837,0.0014878139796358,0.0657959999724492,0.8478808602461696,0.0015002902273596,0.0532012880726863,8.106279076586814e+60
FGG,1.1335166178276945,96,0.1562156215621562,0.0100924189335233,0.0465913943083379,0.9440934052218656,0.0012642574619,0.0397036333036308,4.80890907713403e+60
S100B,1.1179875740654102,97,0.1892189218921892,0.0014887389454212,0.0663816519755261,0.8141918127995021,0.0015482358969233,0.0537891169278485,7.283640288468661e+60
TSKU,1.1172618302430468,98,0.1782178217821782,0.0003851192755105,0.0678050564037086,0.8387175628875266,0.0014662610515893,0.0542704700581533,8.314735971190156e+60
