Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hapln4,Tnc,-0.6041835413827923,0.010208169521572549,0.6041835413827923
Hapln4,Tnr,-0.9921874999999999,5.630753352335904e-15,0.9921874999999999
Hapln4,Vcan,0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hapln4,Vwa1,0.5306686305052324,0.028408002588235195,0.5306686305052324
Hapln4,Vwa5b2,-0.9999999999999999,8.034580660781922e-119,0.9999999999999999
Hapln4,Vwf,-0.7466971892794804,0.0005740355936455131,0.7466971892794804
Hapln4,Wnt10a,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hcfc1,Hmcn1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Hmcn2,0.6619693141303646,0.003794483484218414,0.6619693141303646
Hcfc1,Hrg,-0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Hspg2,-0.5176991150442478,0.0332939264276163,0.5176991150442478
Hcfc1,Htra1,-0.9690265486725664,1.614317900673132e-10,0.9690265486725664
Hcfc1,Igfbp7,0.7674301821024083,0.0003231442376204719,0.7674301821024083
Hcfc1,Il16,0.8887336624992407,1.8634632613944828e-06,0.8887336624992407
Hcfc1,Kcp,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Lama1,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Lama5,-0.6881980971298114,0.0022573283429596505,0.6881980971298114
Hcfc1,Lamb2,-0.5954874726460025,0.011664500047032756,0.5954874726460025
Hcfc1,Lamc1,-0.5309734513274336,0.028300230402428857,0.5309734513274336
Hcfc1,Lgals8,0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Lgi1,0.5545301960998047,0.020879533264969864,0.5545301960998047
Hcfc1,Lgi3,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Lman1,0.7674301821024083,0.0003231442376204719,0.7674301821024083
Hcfc1,Loxl1,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Loxl2,0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Ltbp2,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,M6pr,0.7624790196372315,0.00037256575914741306,0.7624790196372315
Hcfc1,Matn2,0.9823008849557522,2.52290471543576e-12,0.9823008849557522
Hcfc1,Matn4,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Mbl1,-0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Megf10,-0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Megf6,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Megf8,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Megf9,0.6055890590219407,0.009987025944871497,0.6055890590219407
