Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
ANXA11,3,"Lung, Ovary_Cortex, Skin dermis",-0.02812084058445352,Downregulated,Signaling,Other
Tgfbi,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.04449688145272609,Downregulated,Structural,Other
Col2a1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.04926929218709971,Downregulated,Structural,Other
KNG1,3,"Lung, Ovary_Cortex, Skin dermis",-0.049690021389636095,Downregulated,Regulatory,Other
LAMB2,3,"Lung, Ovary_Cortex, Skin dermis",-0.05339743475715696,Downregulated,Structural,Other
OGN,3,"Lung, Ovary_Cortex, Skin dermis",-0.05806337383510793,Downregulated,Structural,Other
DPT,3,"Lung, Ovary_Cortex, Skin dermis",-0.06534504448057923,Downregulated,Structural,Other
ANXA7,3,"Lung, Ovary_Cortex, Skin dermis",-0.07426151984653354,Downregulated,Signaling,Other
Ctsz,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.08369539109391498,Downregulated,Regulatory,Other
Anxa5,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.1160931967292686,Downregulated,Signaling,Other
POSTN,3,"Lung, Ovary_Cortex, Skin dermis",-0.11619589864088714,Downregulated,Structural,Other
Ogn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.12645944309842488,Downregulated,Structural,Other
ANXA1,3,"Lung, Ovary_Cortex, Skin dermis",-0.1292298665439131,Downregulated,Signaling,Other
Ecm1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.1357923846651125,Downregulated,Structural,Other
PLG,3,"Lung, Ovary_Cortex, Skin dermis",-0.13622941184709544,Downregulated,Regulatory,Coagulation
ANXA2,3,"Lung, Ovary_Cortex, Skin dermis",-0.140349886262337,Downregulated,Signaling,Other
Vwa1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.1423859356477031,Downregulated,Structural,Other
LUM,3,"Lung, Ovary_Cortex, Skin dermis",-0.17818363309433796,Downregulated,Structural,Other
FBN1,3,"Lung, Ovary_Cortex, Skin dermis",-0.1824609107790028,Downregulated,Structural,Other
Col5a2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.1854448013047604,Downregulated,Structural,Other
EMILIN1,3,"Lung, Ovary_Cortex, Skin dermis",-0.1892939392068276,Downregulated,Structural,Other
Tinagl1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.1897858494342638,Downregulated,Structural,Other
BGN,3,"Lung, Ovary_Cortex, Skin dermis",-0.20430383872207988,Downregulated,Structural,Other
