Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
P50580,PA2G4_MOUSE,Pa2g4,Ovary,Mus musculus,Old,categorical,2295048.0,LFQ,DIA,Dipali_2023,Old_pooled
P50580,PA2G4_MOUSE,Pa2g4,Ovary,Mus musculus,Young,categorical,2816247.0,LFQ,DIA,Dipali_2023,Young_pooled
Q9DBD0,ICA_MOUSE,Ica,Ovary,Mus musculus,Old,categorical,536825.375,LFQ,DIA,Dipali_2023,Old_pooled
Q9DBD0,ICA_MOUSE,Ica,Ovary,Mus musculus,Young,categorical,381448.34375,LFQ,DIA,Dipali_2023,Young_pooled
B1AU75,B1AU75_MOUSE;NASP_MOUSE,Nasp,Ovary,Mus musculus,Old,categorical,582749.75,LFQ,DIA,Dipali_2023,Old_pooled
B1AU75,B1AU75_MOUSE;NASP_MOUSE,Nasp,Ovary,Mus musculus,Young,categorical,894930.0,LFQ,DIA,Dipali_2023,Young_pooled
D3YYR5,D3YYR5_MOUSE;D3Z5U5_MOUSE;Q9Z256_MOUSE;Q9Z257_MOUSE,P2rx4,Ovary,Mus musculus,Old,categorical,200246.4375,LFQ,DIA,Dipali_2023,Old_pooled
D3YYR5,D3YYR5_MOUSE;D3Z5U5_MOUSE;Q9Z256_MOUSE;Q9Z257_MOUSE,P2rx4,Ovary,Mus musculus,Young,categorical,114423.34375,LFQ,DIA,Dipali_2023,Young_pooled
P97311,MCM6_MOUSE;Q3ULG5_MOUSE,Mcm6,Ovary,Mus musculus,Old,categorical,336632.375,LFQ,DIA,Dipali_2023,Old_pooled
P97311,MCM6_MOUSE;Q3ULG5_MOUSE,Mcm6,Ovary,Mus musculus,Young,categorical,588816.9375,LFQ,DIA,Dipali_2023,Young_pooled
P19324,SERPH_MOUSE,Serpinh1,Ovary,Mus musculus,Old,categorical,9151760.0,LFQ,DIA,Dipali_2023,Old_pooled
P19324,SERPH_MOUSE,Serpinh1,Ovary,Mus musculus,Young,categorical,11428120.0,LFQ,DIA,Dipali_2023,Young_pooled
Q9CPX4,Q9CPX4_MOUSE,Ftl1-ps1,Ovary,Mus musculus,Old,categorical,80224152.0,LFQ,DIA,Dipali_2023,Old_pooled
Q9CPX4,Q9CPX4_MOUSE,Ftl1-ps1,Ovary,Mus musculus,Young,categorical,42569136.0,LFQ,DIA,Dipali_2023,Young_pooled
