Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
Ltbp1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,-1.1364307186842144,0.0438310422364844,1.180261760920699,Skeletal muscle
Anxa6,Decellularized_Tissue,Native_Tissue,0.4898081401139704,-0.6807432444905543,1.1705513846045248,Heart
Serpinb6,Cortex,Hippocampus,0.5607715100531079,-0.600394324727031,1.1611658347801388,Brain
Agrn,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-1.0721075050628908,0.0869117858656196,1.1590192909285104,Skeletal muscle
ADAMTSL5,Glomerular,Tubulointerstitial,0.4509258801190046,-0.705273400229726,1.1561992803487304,Kidney
MFGE8,Glomerular,Tubulointerstitial,0.8716556159476155,-0.2828879702833377,1.1545435862309532,Kidney
Lamb1,Decellularized_Tissue,Native_Tissue,0.541937140988601,-0.6116724240844583,1.1536095650730593,Heart
Col18a1,Cortex,Hippocampus,0.7949056839679264,-0.3462028532853989,1.1411085372533254,Brain
NID1,Cortex,Ovary,1.0952235343755443,-0.0447656362992827,1.139989170674827,Ovary
HSPG2,Cortex,Ovary,-0.6041010421498592,0.5344485496309975,1.1385495917808566,Ovary
Ctsf,Cortex,Hippocampus,0.9385981303516284,-0.1930940475061068,1.1316921778577351,Brain
EFEMP1,Glomerular,Tubulointerstitial,0.0958909837625993,-1.0344048506756942,1.1302958344382934,Kidney
Aebp1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.5843214279810888,0.5457488224466404,1.1300702504277291,Skeletal muscle
S100A7A,Glomerular,Tubulointerstitial,-1.01254325526073,0.1172422882752436,1.1297855435359736,Kidney
AMBP,IAF,OAF,1.053743202766284,-0.0744092914464879,1.128152494212772,Intervertebral_disc
Cst3,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.0079474074212355,-1.0964045218910554,1.104351929312291,Skeletal muscle
Ctsz,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.6782823811590399,0.4215447822961161,1.099827163455156,Skeletal muscle
Ecm1,Decellularized_Tissue,Native_Tissue,-0.710731466428536,0.3841554516996897,1.0948869181282257,Heart
SERPINC1,Glomerular,Tubulointerstitial,0.527171355673233,-0.5447466737712195,1.0719180294444526,Kidney
Dpt,Decellularized_Tissue,Native_Tissue,-0.5421679293861424,0.5272193999942697,1.0693873293804121,Heart
Serpina1a,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.7974671500552871,-0.2714350133051713,1.0689021633604585,Skeletal muscle
Col12a1,Skeletal_muscle_EDL,Skeletal_muscle_TA,0.5813052073677161,-0.4825946532692309,1.063899860636947,Skeletal muscle
SERPINF2,Cortex,Ovary,0.9198920138579884,-0.1411064375268677,1.060998451384856,Ovary
SMAP2,Glomerular,Tubulointerstitial,-0.9128747832878584,0.1470268597104234,1.0599016429982817,Kidney
Aebp1,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-0.5843214279810888,0.4722434971975687,1.0565649251786575,Skeletal muscle
Serpina1b,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.911114739739748,-0.1412527545942297,1.0523674943339776,Skeletal muscle
Mmrn1,Decellularized_Tissue,Native_Tissue,1.0409644162677638,-0.0096190140712669,1.0505834303390307,Heart
Vwf,Decellularized_Tissue,Native_Tissue,0.8016398118292353,-0.2474560826009849,1.0490958944302202,Heart
Fbn2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.2561371732170867,-0.7859910315155673,1.0421282047326539,Skeletal muscle
F2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.2615993686230078,0.7723771772432307,1.0339765458662384,Skeletal muscle
ANXA7,Cortex,Ovary,0.1659057258853618,-0.8626002796197605,1.0285060055051223,Ovary
Gpc1,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,0.6996052159143934,-0.3222510402141955,1.0218562561285889,Skeletal muscle
Fbln2,Skeletal_muscle_EDL,Skeletal_muscle_TA,-0.8917630965444333,0.1256796664769329,1.0174427630213663,Skeletal muscle
Agrn,Decellularized_Tissue,Native_Tissue,0.2583313592606488,-0.755268190013717,1.013599549274366,Heart
SPON1,IAF,OAF,-0.2723664419473581,0.734007882294053,1.0063743242414112,Intervertebral_disc
Fbln2,Skeletal_muscle_EDL,Skeletal_muscle_Gastrocnemius,-0.8917630965444333,0.1086050019554826,1.000368098499916,Skeletal muscle
Itih5,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.2393501622808888,-0.7604451079762162,0.999795270257105,Skeletal muscle
Serpina1a,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.2714350133051713,0.7246382827988479,0.9960732961040192,Skeletal muscle
Fgb,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,-0.9471986280002724,0.0468052623279016,0.994003890328174,Skeletal muscle
Serpina6,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.8626809309786454,-0.1250343715355219,0.9877153025141673,Skeletal muscle
