Gene_Symbol,Compartment_A,Compartment_B,DeltaZ_A,DeltaZ_B,Antagonism_Magnitude,Tissue
CPN2,Glomerular,Tubulointerstitial,0.7713439692724332,-0.2088445795917843,0.9801885488642175,Kidney
COL6A2,Cortex,Ovary,-0.6432921853270736,0.3346429474620216,0.9779351327890952,Ovary
KAL1,IAF,OAF,-0.949727520152278,0.0280240785672464,0.9777515987195244,Intervertebral_disc
COL6A6,Cortex,Ovary,0.5571121836463163,-0.413271922408701,0.9703841060550173,Ovary
Tinagl1,Decellularized_Tissue,Native_Tissue,0.9491439880549736,-0.0193368432222025,0.9684808312771761,Heart
Itih4,Decellularized_Tissue,Native_Tissue,-0.0057007974451807,0.9550751189553232,0.9607759164005039,Heart
ASPN,Glomerular,Tubulointerstitial,0.5653820156828137,-0.3871163666460268,0.9524983823288404,Kidney
SERPINA1,Glomerular,Tubulointerstitial,0.0017889774944744863,-0.9491675981321408,0.9509565756266153,Kidney
LAMC1,IAF,OAF,0.3558928312140546,-0.5936807827765721,0.9495736139906267,Intervertebral_disc
Gpc1,Skeletal_muscle_EDL,Skeletal_muscle_Soleus,0.6996052159143934,-0.2497380660067978,0.9493432819211912,Skeletal muscle
Serpina1a,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Soleus,0.671955430941371,-0.2714350133051713,0.9433904442465423,Skeletal muscle
Pzp,Skeletal_muscle_Soleus,Skeletal_muscle_TA,-0.5640986318273183,0.3780627939030894,0.9421614257304077,Skeletal muscle
