Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
GBA,5,4.0,0.0029657667835771514,0.07246376811594203,0.0685829551185073,0.13474264302282504,0.08998318668877651,,,,
C8A,6,4.0,0.0025253622944171653,0.08695652173913043,0.0685829551185073,0.11473390019208926,0.08977766528883115,,,,
MFAP4,6,3.2,0.0026907655537263225,0.08695652173913043,0.05486636409480585,0.12224860851214951,0.08791710047773878,7.0,0.7142857142857143,0.3987369576917731,UP
PCOLCE,8,1.1428571428571432,0.0025731244435134525,0.11594202898550725,0.019595130033859237,0.11690386117530646,0.08732650895695261,,,,
CTSL,6,2.0,0.002976189516770864,0.08695652173913043,0.03429147755925365,0.13521617540771091,0.08563490458574155,,,,
ADAM10,5,3.5,0.0028068691493907914,0.07246376811594203,0.060010085728693895,0.12752350248928646,0.0852455837117709,,,,
CSTB,6,2.8,0.0026432993005421745,0.08695652173913043,0.04800806858295511,0.12009209086422154,0.08521265652980517,7.0,0.7142857142857143,0.5435196863313894,UP
TNXB,6,4.0,0.0021614474953724977,0.08695652173913043,0.0685829551185073,0.09820028664906633,0.08481758122592427,8.0,0.875,0.6686335403580934,DOWN
ITIH3,7,2.0,0.002423912835578297,0.10144927536231885,0.03429147755925365,0.1101247824782895,0.08390458815619048,5.0,0.8,0.5587217515548292,UP
ACHE,5,3.5,0.0026861872384648764,0.07246376811594203,0.060010085728693895,0.12204060351919624,0.08360071402074384,,,,
PSAP,5,2.5,0.003011561495439615,0.07246376811594203,0.042864346949067066,0.1368232181196216,0.08289177676698342,,,,
VLDLR,6,2.0,0.002735331336660108,0.08695652173913043,0.03429147755925365,0.12427335011156716,0.08235205699689842,,,,
HMGB1,5,4.5,0.0021976481847485944,0.07246376811594203,0.07715582450832072,0.09984497988414945,0.08208574856411786,,,,
THBS3,6,2.8,0.0024068489131372044,0.08695652173913043,0.04800806858295511,0.10934952326951378,0.08198988625139284,5.0,0.8,0.401213215683218,DOWN
MFAP5,6,2.0,0.0026664548857026626,0.08695652173913043,0.03429147755925365,0.12114411045070468,0.08141328509863967,4.0,1.0,0.6213189746898348,DOWN
